Title,Script
"5-Minute Breakfast Bowl","Start your day with a protein-packed breakfast bowl: microwave oats, add Greek yogurt, berries, and a sprinkle of nuts. Ready in 5 minutes!"
"Speedy Avocado Toast","Mash avocado on whole grain toast, top with cherry tomatoes and a dash of pepper. Quick, nutritious, and delicious."
"One-Pan Veggie Stir-Fry","Chop any veggies you have, toss in a pan with olive oil, garlic, and soy sauce. Stir-fry for 7 minutes. Serve with rice."
"Healthy Microwave Mug Cake","Mix banana, oats, cocoa powder, and a splash of milk in a mug. Microwave for 90 seconds for a guilt-free treat."
"Simple Tuna Salad Wrap","Mix canned tuna, Greek yogurt, diced celery, and pepper. Wrap in a tortilla for a fast, filling lunch."
"Quick Chickpea Salad","Combine canned chickpeas, diced cucumber, tomato, lemon juice, and olive oil. Toss and serve cold."
"Instant Veggie Quesadilla","Fill a tortilla with shredded cheese and chopped veggies. Fold and toast in a pan for 3 minutes per side."
"Easy Protein Smoothie","Blend frozen berries, banana, protein powder, and almond milk. Pour and go!"
"Speedy Egg Muffins","Whisk eggs, spinach, and cheese. Pour into muffin tin and bake for 15 minutes. Grab-and-go breakfast for the week."
"Lazy Lentil Soup","Simmer canned lentils, diced carrots, celery, and broth for 10 minutes. Season and enjoy."
"Greek Yogurt Parfait","Layer Greek yogurt, granola, and fruit in a jar. Perfect for breakfast or snack."
"Fast Veggie Fried Rice","Sauté leftover rice with mixed veggies, egg, and soy sauce. Ready in 10 minutes."
"Simple Salmon Rice Bowl","Top cooked rice with canned salmon, avocado, and a drizzle of soy sauce. Mix and eat."
"Quick Caprese Salad","Slice tomatoes and mozzarella, layer with basil, drizzle with olive oil and balsamic."
"Speedy Chicken Wrap","Fill a tortilla with rotisserie chicken, lettuce, tomato, and hummus. Roll and eat."
"Healthy Banana Pancakes","Mash banana, mix with eggs, cook small pancakes in a pan. Serve with berries."
"Easy Overnight Oats","Mix oats, milk, chia seeds, and fruit in a jar. Refrigerate overnight for a ready breakfast."
"Fast Veggie Pasta","Boil pasta, toss with olive oil, garlic, spinach, and cherry tomatoes. Serve hot."
"Quick Hummus Snack Plate","Arrange hummus, carrot sticks, cucumber slices, and pita on a plate for a fast snack."
"Speedy Apple Nachos","Slice apple, drizzle with peanut butter, sprinkle granola and chocolate chips for a sweet treat."
